CB001|CPT001|C00001|4975123456789012|0128|123|2023-01-20|2028-01-20|ACTIF|3000.00|PLATINUM
CB002|CPT003|C00002|4975123456789013|0228|124|2023-02-25|2028-02-25|ACTIF|2000.00|GOLD
CB003|CPT005|C00003|4975123456789014|0328|125|2023-03-15|2028-03-15|ACTIF|5000.00|PLATINUM
CB004|CPT007|C00004|4975123456789015|0428|126|2023-04-10|2028-04-10|ACTIF|1500.00|CLASSIC
CB005|CPT008|C00005|4975123456789016|0528|127|2023-05-20|2028-05-20|ACTIF|10000.00|BLACK
CB006|CPT011|C00006|4975123456789017|0628|128|2023-06-25|2028-06-25|ACTIF|3000.00|GOLD
CB007|CPT013|C00007|4975123456789018|0728|129|2023-07-30|2028-07-30|ACTIF|2000.00|CLASSIC
CB008|CPT014|C00008|4975123456789019|0828|130|2023-08-15|2028-08-15|ACTIF|4000.00|GOLD
CB009|CPT016|C00009|4975123456789020|0928|131|2023-09-20|2028-09-20|ACTIF|5000.00|PLATINUM
CB010|CPT017|C00010|4975123456789021|1028|132|2023-10-25|2028-10-25|ACTIF|1500.00|CLASSIC
CB011|CPT002|C00001|4975123456789022|1128|133|2023-11-15|2028-11-15|ACTIF|2500.00|GOLD
CB012|CPT004|C00002|4975123456789023|1228|134|2023-12-10|2028-12-10|ACTIF|1000.00|CLASSIC
