CB001|CPT001|1234567890123456|1028|123|ACTIF|3|5000
CB002|CPT002|2345678901234567|1128|234|ACTIF|5|8000
CB003|CPT003|3456789012345678|1228|345|ACTIF|2|3000
CB004|CPT004|4567890123456789|0129|456|ACTIF|4|6000
CB005|CPT005|5678901234567890|0229|567|ACTIF|6|10000
CB006|CPT006|6789012345678901|0329|678|ACTIF|1|2000
CB007|CPT007|7890123456789012|0429|789|ACTIF|3|4000
CB008|CPT008|8901234567890123|0529|890|ACTIF|5|12000
CB009|CPT009|9012345678901234|0629|901|ACTIF|2|7000
CB010|CPT010|0123456789012345|0729|012|ACTIF|1|2500
